OBJECTID,TreeID,Genus,SpecificEpithet,CultivarName,ScientificName,CommonName,DBH_in,Height_ft,CampusArea
10884,14041,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,7.87401575,34 - 50 Feet,Main Campus
10885,14034,Pinus,halepensis,,Pinus halepensis,Aleppo Pine,27.55905512,51 - 66 Feet,Main Campus
10886,14016,Celtis,sinensis,,Celtis sinensis,Chinese Hackberry,3.93700787,34 - 50 Feet,Main Campus
10887,14017,Quercus,ilex,,Quercus ilex,Holly Oak,3.93700787,16 - 33 Feet,Main Campus
10888,14018,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,7.87401575,16 - 33 Feet,Main Campus
10889,14021,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,9.84251969,16 - 33 Feet,Main Campus
10890,14022,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,15.7480315,34 - 50 Feet,Main Campus
10891,14001,Quercus,agrifolia,,Quercus agrifolia,Coast Live Oak,14.56692913,34 - 50 Feet,Main Campus
10892,10650,Lagerstroemia,indica,,Lagerstroemia indica,Crape Myrtle,2,< 16 Feet,Main Campus
10893,10651,Lagerstroemia,indica,,Lagerstroemia indica,Crape Myrtle,2,< 16 Feet,Main Campus
10894,10653,Quercus,lobata,,Quercus lobata,Valley Oak,5,16 - 33 Feet,Main Campus
10895,10671,Quercus,lobata,,Quercus lobata,Valley Oak,10,16 - 33 Feet,Main Campus
10896,10672,Quercus,lobata,,Quercus lobata,Valley Oak,13,16 - 33 Feet,Main Campus
10897,10673,Quercus,lobata,,Quercus lobata,Valley Oak,11,34 - 50 Feet,Main Campus
