OBJECTID,TreeID,Genus,SpecificEpithet,CultivarName,ScientificName,CommonName,DBH_in,Height_ft,CampusArea
11204,15096,Quercus,sp.,,Quercus sp.,,0.39370079,< 16 Feet,Main Campus
11205,15097,Cercis,occidentalis,,Cercis occidentalis,Western Redbud,0.39370079,< 16 Feet,Main Campus
11206,15098,Cercis,occidentalis,,Cercis occidentalis,Western Redbud,0.39370079,< 16 Feet,Main Campus
11207,15099,Cercis,occidentalis,,Cercis occidentalis,Western Redbud,0.39370079,< 16 Feet,Main Campus
11208,15101,Cercis,occidentalis,,Cercis occidentalis,Western Redbud,0.39370079,< 16 Feet,Main Campus
11209,15102,Cercis,occidentalis,,Cercis occidentalis,Western Redbud,0.39370079,< 16 Feet,Main Campus
11210,10912,Prosopis,sp.,,Prosopis sp.,Mesquite species,0,,Main Campus
11211,10913,Prosopis,sp.,,Prosopis sp.,Mesquite species,0,,Main Campus
11212,10914,Juglans,hindsii,,Juglans hindsii,California Black Walnut,0,,Main Campus
11213,10915,Juglans,hindsii,,Juglans hindsii,California Black Walnut,0,,Main Campus
11214,10916,Sequoia,sempervirens,,Sequoia sempervirens,Coast Redwood,9.84251969,34 - 50 Feet,Main Campus
11215,10917,Salix,sp.,,Salix sp.,Common Willow,0,,Main Campus
11216,10918,Quercus,lobata,,Quercus lobata,Valley Oak,0,,Main Campus
11217,15103,Quercus,rugorosa,,Quercus rugorosa,,0.39370079,< 16 Feet,Main Campus
11218,15104,Quercus,rugorosa,,Quercus rugorosa,,0.39370079,< 16 Feet,Main Campus
11219,10919,Juglans,hindsii,,Juglans hindsii,California Black Walnut,57,34 - 50 Feet,Main Campus
11220,14150,Lagerstroemia,indica,,Lagerstroemia indica,Crape Myrtle,1.96850394,< 16 Feet,Main Campus
11226,14156,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,6,16 - 33 Feet,Main Campus
11227,14157,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,7,16 - 33 Feet,Main Campus
11228,14158,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,7,16 - 33 Feet,Main Campus
11229,14159,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,8,16 - 33 Feet,Main Campus
11230,14160,Juniperus,chinensis,Torulosa,Juniperus chinensis,Hollywood Juniper,5,16 - 33 Feet,Main Campus
11231,14161,Juniperus,chinensis,Torulosa,Juniperus chinensis,Hollywood Juniper,4,16 - 33 Feet,Main Campus
11232,14162,Juniperus,chinensis,Torulosa,Juniperus chinensis,Hollywood Juniper,5,16 - 33 Feet,Main Campus
11233,14163,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,8,16 - 33 Feet,Main Campus
11234,14164,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,8,16 - 33 Feet,Main Campus
11237,14167,Arbutus,unedo,,Arbutus unedo,Strawberry Tree,6,< 16 Feet,Main Campus
11238,14168,Quercus,lobata,,Quercus lobata,Valley Oak,1.96850394,16 - 33 Feet,Main Campus
11239,14169,Chionanthus,retusus,,Chionanthus retusus,Chinese Fringe Tree,3.5,16 - 33 Feet,Main Campus
11240,14170,Ulmus,sp.,,Ulmus sp. ,,5.90551181,16 - 33 Feet,Main Campus
11241,17523,Quercus,muehlenbergii,,Quercus muehlenbergii,Chinkapin Oak,2,16 - 33 Feet,Main Campus
11242,14172,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,0.39370079,< 16 Feet,Main Campus
11244,14175,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,0.78740157,< 16 Feet,Main Campus
11245,14176,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,0.78740157,< 16 Feet,Main Campus
11246,14177,Arbutus,unedo,,Arbutus unedo,Strawberry Tree,4,< 16 Feet,Main Campus
11247,14178,Lagerstroemia,indica,Arapaho,Lagerstroemia indica,Crape Myrtle,1,< 16 Feet,Main Campus
11248,14180,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,1,< 16 Feet,Main Campus
11249,14181,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,1,< 16 Feet,Main Campus
11250,14182,Lagerstroemia,indica,Arapaho,Lagerstroemia indica,Crape Myrtle,1,< 16 Feet,Main Campus
11251,14183,Lagerstroemia,indica,Arapaho,Lagerstroemia indica,Crape Myrtle,2,< 16 Feet,Main Campus
11252,14184,Zelkova,serrata,,Zelkova serrata ,Sawleaf Zelkova,7,16 - 33 Feet,Main Campus
11253,14185,Zelkova,serrata,,Zelkova serrata ,Sawleaf Zelkova,11,34 - 50 Feet,Main Campus
11255,14188,Zelkova,serrata,,Zelkova serrata ,Sawleaf Zelkova,3,< 16 Feet,Main Campus
11256,14189,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,4,16 - 33 Feet,Main Campus
11257,14190,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,3,< 16 Feet,Main Campus
11258,14191,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,7,16 - 33 Feet,Main Campus
11259,14192,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,5,16 - 33 Feet,Main Campus
11262,14195,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,5,16 - 33 Feet,Main Campus
11263,14196,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,5,16 - 33 Feet,Main Campus
11264,14197,Tilia,cordata,,Tilia cordata ,Little-Leaf Linden,6,16 - 33 Feet,Main Campus
11267,14200,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,5,16 - 33 Feet,Main Campus
11268,14201,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,5,16 - 33 Feet,Main Campus
11269,14202,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,5,16 - 33 Feet,Main Campus
11270,14203,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,5,16 - 33 Feet,Main Campus
11271,14204,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,6,16 - 33 Feet,Main Campus
11272,14205,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,5,16 - 33 Feet,Main Campus
11273,14206,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,4,< 16 Feet,Main Campus
11274,14207,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,6,16 - 33 Feet,Main Campus
11275,14208,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,6,16 - 33 Feet,Main Campus
11276,14209,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,7,16 - 33 Feet,Main Campus
11277,14210,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,6,16 - 33 Feet,Main Campus
11278,14211,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,6,< 16 Feet,Main Campus
11279,14212,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,5,16 - 33 Feet,Main Campus
11280,14213,Arbutus,unedo,,Arbutus unedo,Strawberry Tree,7,< 16 Feet,Main Campus
11283,14217,Arbutus,unedo,,Arbutus unedo,Strawberry Tree,2,< 16 Feet,Main Campus
11284,14218,Arbutus,unedo,,Arbutus unedo,Strawberry Tree,4,< 16 Feet,Main Campus
11286,14220,Ulmus,parvifolia,Frontier,Ulmus americana,Frontier Elm,8,16 - 33 Feet,Main Campus
11287,14221,Ulmus,sp.,Frontier,Ulmus americana,Frontier Elm,7,16 - 33 Feet,Main Campus
11288,14222,Ulmus,sp.,Frontier,Ulmus americana,Frontier Elm,6,16 - 33 Feet,Main Campus
11292,14227,Arbutus,unedo,,Arbutus unedo,Strawberry Tree,1,< 16 Feet,Main Campus
11293,14228,Arbutus,unedo,,Arbutus unedo,Strawberry Tree,5,< 16 Feet,Main Campus
11294,14229,Arbutus,unedo,,Arbutus unedo,Strawberry Tree,1,< 16 Feet,Main Campus
11296,14231,Quercus,virginiana,,Quercus virginiana,Southern Live Oak,6,16 - 33 Feet,Main Campus
11297,14232,Quercus,virginiana,,Quercus virginiana,Southern Live Oak,6,< 16 Feet,Main Campus
11298,14233,Juniperus,chinensis,Torulosa,Juniperus chinensis,Hollywood Juniper,6,16 - 33 Feet,Main Campus
11299,14234,Juniperus,chinensis,Torulosa,Juniperus chinensis,Hollywood Juniper,2,< 16 Feet,Main Campus
11300,14235,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,2,< 16 Feet,Main Campus
11301,14236,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,5,16 - 33 Feet,Main Campus
11302,14237,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,4,16 - 33 Feet,Main Campus
11303,14238,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,6,16 - 33 Feet,Main Campus
11304,14239,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,7,16 - 33 Feet,Main Campus
11305,14240,Xylosma,congestum,,Xylosma congestum ,Xylosma,4,< 16 Feet,Main Campus
11306,14241,Xylosma,congestum,,Xylosma congestum ,Xylosma,1.18110236,< 16 Feet,Main Campus
11308,14243,Juniperus,chinensis,Torulosa,Juniperus chinensis,Hollywood Juniper,1.57480315,< 16 Feet,Main Campus
11309,14244,Juniperus,chinensis,Torulosa,Juniperus chinensis,Hollywood Juniper,1.57480315,< 16 Feet,Main Campus
11310,14245,Quercus,muehlenbergii,,Quercus muehlenbergii,Chinkapin Oak,4,< 16 Feet,Main Campus
11311,14246,Quercus,muehlenbergii,,Quercus muehlenbergii,Chinkapin Oak,5,16 - 33 Feet,Main Campus
11312,14248,Quercus,virginiana,,Quercus virginiana,Southern Live Oak,7,16 - 33 Feet,Main Campus
11313,14250,Juniperus,chinensis,Torulosa,Juniperus chinensis,Hollywood Juniper,5,16 - 33 Feet,Main Campus
11314,14252,Xylosma,congestum,,Xylosma congestum,Xylosma,4,< 16 Feet,Main Campus
11315,14254,Juniperus,chinensis,Torulosa,Juniperus chinensis,Hollywood Juniper,1.57480315,< 16 Feet,Main Campus
11316,14255,Juniperus,chinensis,Torulosa,Juniperus chinensis,Hollywood Juniper,1.18110236,< 16 Feet,Main Campus
11317,14256,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,6,16 - 33 Feet,Main Campus
11318,14257,Quercus,muehlenbergii,,Quercus muehlenbergii,Chinkapin Oak,6,16 - 33 Feet,Main Campus
11319,14258,Quercus,muehlenbergii,,Quercus muehlenbergii,Chinkapin Oak,4,< 16 Feet,Main Campus
11320,14260,Quercus,virginiana,,Quercus virginiana,Southern Live Oak,7,16 - 33 Feet,Main Campus
11321,14262,Quercus,virginiana,,Quercus virginiana,Southern Live Oak,6,< 16 Feet,Main Campus
11322,14263,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,5,16 - 33 Feet,Main Campus
11323,14264,Xylosma,congestum,,Xylosma congestum ,Xylosma,6,< 16 Feet,Main Campus
11325,14266,Pistacia,chinensis,,Pistacia chinensis,Chinese Pistache,3,< 16 Feet,Main Campus
11326,14267,Arbutus,unedo,,Arbutus unedo,Strawberry Tree,5,< 16 Feet,Main Campus
11327,14268,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,4,16 - 33 Feet,Main Campus
11328,14269,Ginkgo,biloba,,Ginkgo biloba,Maidenhair Tree,3,16 - 33 Feet,Main Campus
11329,14270,Xylosma,congestum,,Xylosma congestum,Xylosma,4,< 16 Feet,Main Campus
11330,14271,Zelkova,serrata,,Zelkova serrata ,Sawleaf Zelkova,7,16 - 33 Feet,Main Campus
11332,14273,Arbutus,unedo,,Arbutus unedo,Strawberry Tree,5,< 16 Feet,Main Campus
11333,14276,Tilia,cordata,,Tilia cordata ,Little-Leaf Linden,1.18110236,< 16 Feet,Main Campus
11334,14277,Lagerstroemia,indica,,Lagerstroemia indica,Crape Myrtle,0.78740157,< 16 Feet,Main Campus
11335,14278,Tilia,cordata,,Tilia cordata ,Little-Leaf Linden,3,< 16 Feet,Main Campus
11336,14279,Arbutus,unedo,,Arbutus unedo,Strawberry Tree,0.78740157,< 16 Feet,Main Campus
11339,13074,Cercis,occidentalis,,Cercis occidentalis,Western Redbud,3,< 16 Feet,Main Campus
11340,13075,Quercus,lobata,,Quercus lobata,Valley Oak,9,16 - 33 Feet,Main Campus
11341,13076,Chionanthus,retusus,,Chionanthus retusus,Chinese Fringe Tree,7,16 - 33 Feet,Main Campus
